,,,,,
Tabela com Modelos e Prompts utilizados para gerações,,,,,
Modelo,Prompt,Resultado,Personagen/Objeto,Observação,
KlingAI,"Short ricocheting packet sound effect. A hacking projectile bounces between targets: network ping, sharp digital boing, modem tick, quick green terminal glitch trail. Should sound agile and chain-like. 0.4 seconds. No music, no voice.",https://drive.google.com/file/d/1J9fD0UXwq_HblAPuHLJ7hUTYRG82l1_H/view?usp=drive_link,Efeito Sonoro: Arma Man-in-the-Middle,Vazio,
KlingAI,"Short player damage sound effect for a 1990s computer simulation roguelike. Rex gets hit: sharp digital error beep, brief CRT distortion, corrupted health warning blip, tiny static crackle. Should feel painful but not realistic gore, more like a human inside a glitching terminal world. 0.35 seconds. No music, no voice.",https://drive.google.com/file/d/17J7dyKWIvkmcH8W_akunyesuNqktg5ti/view?usp=drive_link,Efeito Sonoro: Dano no jogador,"Agora faça o prompt para os efeitos sonoros do rex tomando dano, subindo de nível, coletando itens de cura do chão (Codex)",
KlingAI,"Short level up sound effect for a dark 1990s hacking roguelike. Positive but still retro: ascending terminal beeps, clean green CRT chime, small system unlock sound, subtle data sparkle, like a successful upgrade command. Rewarding and clear, 0.8 seconds. No music, no voice.",https://drive.google.com/file/d/1b3eI-qdPOVyhDYXtrZ2sXihSieNN_4ab/view?usp=drive_link,Rex Subindo de Nível,Vazio,
KlingAI,"Short healing pickup sound effect for a 1990s computer simulation game. Rex collects a health item from the ground: soft digital restore chime, gentle medical system beep, clean green data pulse, tiny CRT shimmer. Should feel restorative, quick, and satisfying. 0.45 seconds. No music, no voice.",https://drive.google.com/file/d/1FFv2_nhDc_aemxSimemP2UVwOPIikZza/view?usp=drive_link,Coletando Item de Cura,Vazio,
Gemini Nano Banana Pro,"16-bit pixel art game environment tile, 2D top-down / slight 3/4 perspective, 1990s New York street, dark cyberpunk computer simulation atmosphere, muted asphalt, concrete sidewalks, parked cars, traffic signs, trash bags, manholes, subtle green digital glitches, no characters, no enemies, no UI, no text, clean transparent background or perfectly square tile background, consistent scale, crisp pixel art, game-ready asset, seamless modular edges where possible.

Create a square modular 16-bit pixel art tile for a 2D top-down / slight 3/4 action roguelike game. The tile shows a 1990s New York street running horizontally from left to right, asphalt road in the center, sidewalks at top and bottom, parked cars along the curb, manholes, lane markings, small trash bags and street signs. The left and right edges must connect seamlessly to other road tiles. No characters, no enemies, no UI, no readable text. Style: dark 90s computer simulation, subtle green glitch artifacts, crisp pixel art, consistent scale, game-ready.",https://drive.google.com/file/d/1XzWdw2fRxpX3zz-WDb3_BqgK5AV3M12N/view?usp=drive_link,Cenário: Rua Reta Vertical,Vazio,
Gemini Nano Banana Pro,"16-bit pixel art game environment tile, 2D top-down / slight 3/4 perspective, 1990s New York street, dark cyberpunk computer simulation atmosphere, muted asphalt, concrete sidewalks, parked cars, traffic signs, trash bags, manholes, subtle green digital glitches, no characters, no enemies, no UI, no text, clean transparent background or perfectly square tile background, consistent scale, crisp pixel art, game-ready asset, seamless modular edges where possible.

Create a square modular 16-bit pixel art tile for a 2D top-down / slight 3/4 action roguelike game. The tile shows a 1990s New York street running vertically from top to bottom, asphalt road in the center, sidewalks on both sides, parked cars along the curbs, crosswalk fragments, manholes, traffic cones and small urban debris. The top and bottom edges must connect seamlessly to other road tiles. No characters, no enemies, no UI, no readable text. Dark cyberpunk computer simulation mood, subtle green digital glitches, crisp 16-bit pixel art, consistent scale.",https://drive.google.com/file/d/1GySr6pNpU44vQglPjMbQ-GaM2_OFPU7v/view?usp=drive_link,Cenário: Rua Reta Horizontal,Vazio,
Gemini Nano Banana Pro,"16-bit pixel art game environment tile, 2D top-down / slight 3/4 perspective, 1990s New York street, dark cyberpunk computer simulation atmosphere, muted asphalt, concrete sidewalks, parked cars, traffic signs, trash bags, manholes, subtle green digital glitches, no characters, no enemies, no UI, no text, clean transparent background or perfectly square tile background, consistent scale, crisp pixel art, game-ready asset, seamless modular edges where possible.

Create a square modular 16-bit pixel art tile showing a four-way New York street intersection, roads connecting to all four edges, sidewalks on the corners, crosswalks, traffic lights, storm drains, lane markings, parked cars near the corners but leaving the roads open. 2D top-down / slight 3/4 perspective, 16-bit pixel art, dark 1990s simulation atmosphere, subtle green glitch details. No characters, no enemies, no UI, no readable text. Game-ready modular tile with clear walkable roads.",https://drive.google.com/file/d/1skRD9qtcDGA_14aVRb6TbiedjpQBMGzw/view?usp=drive_link,Cenário: Cruzamento,Vazio,
Codex 5.5,"Agora vamos trabalhar na construção do cenário. A primeira fase acontece nas ruas de nova iorque, para isso eu pensei em construir alguns blocos que podem ser repetidos a fim de fazer uma fase ""infinita"". Os blocos que pensei deveriam conter algo como ruas com carros estacionados e blocos com construções de forma que o jogador não pudesse passar por ali, por exemplo um bloco com um prédio, obrigado o jogador a dar a volta por cima ou por baixo onde haveria outra rua aberta.

Consegue pensar em todos os blocos necessários e gerar os prompts para que eu gere em outra IA as imagens?","Sim. Para essa fase “infinita”, eu pensaria em blocos modulares de rua vistos de cima/levemente inclinados, com tamanho padronizado, por exemplo `1024x1024` ou `512x512`, todos com a mesma perspectiva, iluminação e escala. A ideia é você conseguir combinar os blocos como peças de tabuleiro.

Eu separaria em três famílias: ruas transitáveis, obstáculos grandes e variações decorativas.

**Configuração Geral**

Use este trecho em todos os prompts:

```text
16-bit pixel art game environment tile, 2D top-down / slight 3/4 perspective, 1990s New York street, dark cyberpunk computer simulation atmosphere, muted asphalt, concrete sidewalks, parked cars, traffic signs, trash bags, manholes, subtle green digital glitches, no characters, no enemies, no UI, no text, clean transparent background or perfectly square tile background, consistent scale, crisp pixel art, game-ready asset, seamless modular edges where possible
```

Evite pedir “muito detalhado” demais, porque IA tende a gerar pintura em vez de pixel art. Eu usaria sempre: `crisp 16-bit pixel art, limited palette, visible pixel clusters`.

**Blocos Essenciais**

1. **Rua Reta Horizontal**

```text
Create a square modular 16-bit pixel art tile for a 2D top-down / slight 3/4 action roguelike game. The tile shows a 1990s New York street running horizontally from left to right, asphalt road in the center, sidewalks at top and bottom, parked cars along the curb, manholes, lane markings, small trash bags and street signs. The left and right edges must connect seamlessly to other road tiles. No characters, no enemies, no UI, no readable text. Style: dark 90s computer simulation, subtle green glitch artifacts, crisp pixel art, consistent scale, game-ready.
```

2. **Rua Reta Vertical**

```text
Create a square modular 16-bit pixel art tile for a 2D top-down / slight 3/4 action roguelike game. The tile shows a 1990s New York street running vertically from top to bottom, asphalt road in the center, sidewalks on both sides, parked cars along the curbs, crosswalk fragments, manholes, traffic cones and small urban debris. The top and bottom edges must connect seamlessly to other road tiles. No characters, no enemies, no UI, no readable text. Dark cyberpunk computer simulation mood, subtle green digital glitches, crisp 16-bit pixel art, consistent scale.
```

3. **Cruzamento em “+”**

```text
Create a square modular 16-bit pixel art tile showing a four-way New York street intersection, roads connecting to all four edges, sidewalks on the corners, crosswalks, traffic lights, storm drains, lane markings, parked cars near the corners but leaving the roads open. 2D top-down / slight 3/4 perspective, 16-bit pixel art, dark 1990s simulation atmosphere, subtle green glitch details. No characters, no enemies, no UI, no readable text. Game-ready modular tile with clear walkable roads.
```

4. **Curva de Rua**

```text
Create a square modular 16-bit pixel art tile showing a 90-degree New York street corner, road entering from the left and exiting upward, sidewalks along the curve, parked cars, traffic sign, trash bags, manhole, crosswalk detail. The road edges must connect cleanly to neighboring tiles. 2D top-down / slight 3/4 perspective, crisp 16-bit pixel art, dark 90s computer simulation mood with subtle green glitch artifacts. No characters, no enemies, no UI, no readable text.
```

Depois você pode pedir variações: curva esquerda-cima, esquerda-baixo, direita-cima, direita-baixo. Ou gerar uma e espelhar na Unity.

5. **Bloco com Prédio Ocupando o Centro**

```text
Create a square modular 16-bit pixel art obstacle tile for a 2D top-down / slight 3/4 roguelike game. The tile contains a large 1990s New York brick building occupying most of the center, with sidewalks and narrow streets passing around the top and bottom edges. The building should clearly be non-walkable, with visible walls, windows, fire escape ladders, rooftop details, air conditioners and subtle green digital glitch corruption. No characters, no enemies, no UI, no readable text. Crisp 16-bit pixel art, consistent scale, game-ready.
```

6. **Bloco de Prédio Encostado no Topo**

```text
Create a square modular 16-bit pixel art tile showing a large New York building blocking the upper half of the tile, with an open street and sidewalk path along the lower half. The player should visually understand that the building is an obstacle and the lower street is walkable. Include brick walls, windows, fire escapes, air conditioners, trash bags, parked car, asphalt and curb details. 2D top-down / slight 3/4 perspective, dark 1990s computer simulation atmosphere, subtle green glitch effects. No characters, no enemies, no UI, no readable text.
```

7. **Bloco de Prédio Encostado embaixo**

```text
Create a square modular 16-bit pixel art tile showing a large New York building blocking the lower half of the tile, with an open street and sidewalk path along the upper half. The building is a clear non-walkable obstacle. Add brick walls, windows, fire escapes, rooftop machinery, urban trash, asphalt road and sidewalk details. 16-bit pixel art, 2D top-down / slight 3/4 perspective, dark cyber simulation mood, subtle green glitch artifacts. No characters, no enemies, no UI, no readable text.
```

8. **Beco Estreito entre Prédios**

```text
Create a square modular 16-bit pixel art tile showing a narrow alley between two New York buildings. Buildings occupy the left and right sides as non-walkable obstacles, with a walkable alley path through the center from top to bottom. Include dumpsters, pipes, fire escapes, cables, trash bags, wet asphalt, small green digital glitch fragments. 2D top-down / slight 3/4 perspective, dark 1990s computer simulation atmosphere, game-ready tile, no characters, no enemies, no UI, no readable text.
```

9. **Estacionamento Parcial**

```text
Create a square modular 16-bit pixel art tile showing a small 1990s New York parking lot connected to the street, with several parked cars as obstacles, open lanes between them, cracked asphalt, faded parking lines, street lamps, trash, oil stains and subtle green simulation glitches. 2D top-down / slight 3/4 perspective, crisp 16-bit pixel art, no characters, no enemies, no UI, no readable text. Make the walkable paths visually clear.
```

10. **Rua Bloqueada por Obras**

```text
Create a square modular 16-bit pixel art tile showing a New York street partially blocked by roadwork barriers, orange cones, construction fences, broken asphalt and a small excavated area. There should be a clear walkable path around the obstruction, forcing the player to move around it. 2D top-down / slight 3/4 perspective, dark 1990s computer simulation style, subtle green glitch artifacts, crisp 16-bit pixel art. No characters, no enemies, no UI, no readable text.
```

11. **Praça/Calçada Aberta**

```text
Create a square modular 16-bit pixel art tile showing an open urban sidewalk plaza in 1990s New York, mostly walkable, with concrete pavement, benches, newspaper stands, street lamps, trash cans, subway entrance stairs, small planters and subtle green digital corruption. 2D top-down / slight 3/4 perspective, crisp 16-bit pixel art, no characters, no enemies, no UI, no readable text. Game-ready modular environment tile.
```

12. **Entrada de Metrô**

```text
Create a square modular 16-bit pixel art tile showing a 1990s New York subway entrance on a sidewalk beside a road. Include stairs going underground, metal railings, tiled entrance, street lamps, posters without readable text, trash bags, asphalt road and curb. The subway entrance and railings are obstacles, but the street and sidewalk remain walkable. 2D top-down / slight 3/4 perspective, dark computer simulation atmosphere, subtle green glitch artifacts, no characters, no enemies, no UI, no readable text.
```

**Blocos de Variação Visual**

Use esses para não parecer tudo repetido:

```text
Create a square 16-bit pixel art modular New York street tile variation with cracked asphalt, different parked cars, trash bags, newspaper boxes, traffic cones, streetlights and subtle green glitch corruption. Keep the road layout identical to a straight horizontal street tile, with seamless left and right road connections. No characters, no enemies, no UI, no readable text.
```

```text
Create a square 16-bit pixel art modular New York building obstacle variation, brick facade, fire escapes, dark windows, rooftop vents, air conditioners, small graffiti-like abstract marks with no readable text, subtle green digital glitches. The building occupies most of the tile and is clearly non-walkable, with walkable sidewalk/road around it. No characters, no enemies, no UI.
```

**Dica importante para gerar melhor**

Eu geraria primeiro só uns 6 blocos base:

- Rua horizontal
- Rua vertical
- Cruzamento
- Curva
- Prédio central
- Beco entre prédios

Com isso você já consegue testar a lógica de cenário infinito. Depois adiciona variações visuais para não ficar repetitivo.

Para a Unity, o ideal é cada imagem vir como tile quadrado, na mesma resolução, sem personagens e sem sombra cortada nas bordas. Os colliders depois podem ser colocados manualmente nos prédios, carros estacionados, barreiras, metrô e construções.",,Criação dos prompts dos blocos que fazem o cenário da fase 1,
Codex 5.5,,"Claro. Use este padrão para todos: sprite sheet com **3 frames horizontais**, personagem virado para a direita, fundo transparente, mesmo tamanho e escala em todos os frames.

**Prompt Base**
```text
Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.
```

**Operário Marionete**
```text
[Prompt Base] Enemy: Maintenance Puppet. A corrupted underground maintenance worker puppet wearing a worn gray and faded yellow industrial uniform, cracked hard hat, dirty work boots, tool belt, blank expression, pale skin, slightly robotic posture. Small green code cracks on arms and helmet, subtle cable fragments attached to the uniform. Looks like a human avatar controlled by the simulation, not a zombie.
```

**Técnico de Cabos**
```text
[Prompt Base] Enemy: Cable Technician. A corrupted network cable technician carrying loose cable coils and connector tools, slim body, utility vest, rolled sleeves, gloves, dangling wires dragging behind while walking. Eyes glow like small green LEDs, cables pulse with cyan data energy. The pose should emphasize wires and cable loops moving between frames.
```

**Rastejador de Duto**
```text
[Prompt Base] Enemy: Duct Crawler. A low crawling corrupted humanoid maintenance creature emerging from ventilation ducts, hunched posture, elongated arms, mechanical knee pads, torn worker uniform, metal vent fragments attached to back and shoulders. Moves close to the ground toward the right. Glitching purple-blue body accents with small green data sparks.
```

**Sentinela de Pacotes**
```text
[Prompt Base] Enemy: Packet Sentinel. A non-human network protocol entity made of floating polygonal data shards, with a bright cyan core, thin vector-like limbs, angular head without a face, hovering slightly while moving right. It should look like pure software given temporary combat form, not a person. Include small packet-like squares orbiting around it.
```

**Balanceador de Carga**
```text
[Prompt Base] Enemy: Load Balancer. A corrupted support unit with a half-human technician body and multiple glowing cables extending from its back, as if linking to other enemies. Stocky silhouette, heavy backpack router device, yellow-green data links, calm mechanical posture. The walking frames should show cables swaying and the router core pulsing.
```

**Compressor de Dados**
```text
[Prompt Base] Enemy: Data Compressor. A slow heavy tank enemy made of compressed concrete, server metal plates and corrupted code blocks, bulky square silhouette, piston-like arms, heavy legs, industrial pressure plates. It should look dense, heavy and hard to move, with gray-green metal tones and glowing compression seams.
```

**Administrador Fantasma**
```text
[Prompt Base] Enemy: Ghost Admin. A semi-transparent corrupted system administrator silhouette, wearing office/IT technician clothes, loose tie or badge, pale translucent body, hands typing on invisible floating panels while moving right. Face partially erased, eyes faint blue-white. Subtle terminal windows and access symbols flicker around the body.
```

**Nodo Parasita**
```text
Create a 16-bit pixel art sprite sheet for a stationary enemy structure in a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames. Frame 1: idle pulse. Frame 2: stronger pulse/opening. Frame 3: completing the pulse. Transparent background, no shadow, no text, no UI, consistent size, crisp 16-bit pixel art. Enemy: Parasite Node, an organic-digital routing node made of cables, green glowing core, metal clamps, concrete fragments and pulsing data veins. It is not humanoid and does not walk; the animation should be a pulsing spawn structure.
```

**Trem de Dados**
```text
Create a 16-bit pixel art sprite sheet for a fast moving enemy vehicle in a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames, facing and moving to the right. Frame 1: idle/approach. Frame 2: motion frame. Frame 3: completing the movement. Transparent background, no shadow, no text, no UI, crisp 16-bit pixel art. Enemy: Data Train, an abstract subway/train-like vehicle made of dark metal, blue/cyan data blocks, glowing green front light, glitching code trail, designed for underground network tunnels. No driver, no readable logos.
```

**Protocolo de Isolamento**
```text
[Prompt Base] Enemy: Isolation Protocol. A tall armored protocol guardian with rectangular data shields, no human face, magenta and green corrupted security markings, heavy digital armor, blocky shoulders, one arm forming a hard-light wall projector. It should feel like a security process designed to block routes and isolate the player.
```

**GATEWAY**
```text
Create a 16-bit pixel art sprite sheet for a boss enemy in a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames, facing and moving to the right. Frame 1: idle dominant stance. Frame 2: heavy movement/activation step. Frame 3: completing the movement. Transparent background, no shadow, no text, no UI, crisp 16-bit pixel art, larger boss scale than normal enemies. Boss: GATEWAY, a central routing entity of the simulation's network layer, part machine, part digital altar, with a glowing cyan-green core, cable crown, floating router plates, satellite node sockets, angular non-human silhouette, powerful and intelligent. It should not look like Rex or any human character.
```",Prompts para Sprites de inimigos fase 2,"Agora faça os prompts para que eu gere a arte dos inimigos no nano banana pro. Seguindo aquela ideia de 3 frames (Idle, andando, terminando o movimento), a animação do personagem andando depois no jogo vai usar os 3 frames",
Flow Studio Nano Banana,"[Prompt Base]: Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*


[Prompt Enemy]: Cable Technician. A corrupted network cable technician carrying loose cable coils and connector tools, slim body, utility vest, rolled sleeves, gloves, dangling wires dragging behind while walking. Eyes glow like small green LEDs, cables pulse with cyan data energy. The pose should emphasize wires and cable loops moving between frames.",https://drive.google.com/file/d/1lMeg_pjFKoHSdjLVWjmoHbL9Z2DJb-l6/view?usp=drive_link,Sprite Sheet inimigo: Operário Marionete,Vazio,
Flow Studio Nano Banana,"[Prompt Base]: Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*




[Prompt Enemy]: Cable Technician. A corrupted network cable technician carrying loose cable coils and connector tools, slim body, utility vest, rolled sleeves, gloves, dangling wires dragging behind while walking. Eyes glow like small green LEDs, cables pulse with cyan data energy. The pose should emphasize wires and cable loops moving between frames. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*
",https://drive.google.com/file/d/1mxS4CHIbwbPGAnMTkVlh2v29qR6mwCw1/view?usp=drive_link,Sprite Sheet inimigo: Técnico de Cabos,Vazio,
Flow Studio Nano Banana,"[Prompt Base]: Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*


[Prompt Enemy]: Duct Crawler. A low crawling corrupted humanoid maintenance creature emerging from ventilation ducts, hunched posture, elongated arms, mechanical knee pads, torn worker uniform, metal vent fragments attached to back and shoulders. Moves close to the ground toward the right. Glitching purple-blue body accents with small green data sparks. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*",https://drive.google.com/file/d/1ey81TcKOr8ueNsyIpiGpbEYAI7oXDWmT/view?usp=drive_link,Sprite Sheet inimigo: Rastejador de Duto,Vazio,
Flow Studio Nano Banana,"[Prompt Base]: Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*


[Prompt Enemy]: Packet Sentinel. A non-human network protocol entity made of floating polygonal data shards, with a bright cyan core, thin vector-like limbs, angular head without a face, hovering slightly while moving right. It should look like pure software given temporary combat form, not a person. Include small packet-like squares orbiting around it. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*",https://drive.google.com/file/d/1ZKjZAq2SyAlti_YExlzqDKhEKL2Kce7m/view?usp=drive_link,Sprite Sheet inimigo: Sentinela de Pacotes,Vazio,
Flow Studio Nano Banana,"[Prompt Base]: Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*


[Prompt Enemy]: Load Balancer. A corrupted support unit with a half-human technician body and multiple glowing cables extending from its back, as if linking to other enemies. Stocky silhouette, heavy backpack router device, yellow-green data links, calm mechanical posture. The walking frames should show cables swaying and the router core pulsing. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*",https://drive.google.com/file/d/1a0K-fHeU9gjUqJ2WJqP68rXQEIDCTvyx/view?usp=drive_link,Sprite Sheet inimigo: Balanceador de Carga,Vazio,
Flow Studio Nano Banana,"[Prompt Base]: Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*


[Prompt Enemy]: Data Compressor. A slow heavy enemy made of compressed concrete, server metal plates and corrupted code blocks, bulky square silhouette, piston-like arms, heavy legs, industrial pressure plates. It should look dense, heavy and hard to move, with gray-green metal tones and glowing compression seams. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*",https://drive.google.com/file/d/1dIq0TSQuUCuYd-FaOD7OY0PZIRWqZQ7d/view?usp=drive_link,Sprite Sheet inimigo: Compressor de Dados,Vazio,
Flow Studio Nano Banana,"[Prompt Base]: Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*


[Prompt Enemy]: Ghost Admin. A semi-transparent corrupted system administrator silhouette, wearing office/IT technician clothes, loose tie or badge, pale translucent female body, hands typing on invisible floating panels while moving right. Face partially erased, eyes faint blue-white. Subtle terminal windows and access symbols flicker around the body. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*",https://drive.google.com/file/d/1J9DoG0GQdvhE7-2OSnnrjQkkGDR61Gx3/view?usp=drive_link,Sprite Sheet inimigo: Administrador Fantasma,Vazio,
Flow Studio Nano Banana,"[Prompt Base]: Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*


[Prompt Enemy]: Create a 16-bit pixel art sprite sheet for a stationary enemy structure in a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames. Frame 1: idle pulse. Frame 2: stronger pulse/opening. Frame 3: completing the pulse. Transparent background, no shadow, no text, no UI, consistent size, crisp 16-bit pixel art. Enemy: Parasite Node, an organic-digital routing node made of cables, green glowing core, metal clamps, concrete fragments and pulsing data veins. It is not humanoid and does not walk; the animation should be a pulsing spawn structure. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*",https://drive.google.com/file/d/1eh9YJmzq5gOVr71FkrrcsxRE6sLICNux/view?usp=drive_link,Sprite Sheet inimigo: Nodo Parasita,Vazio,
Flow Studio Nano Banana,"[Prompt Base]: Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*


[Prompt Enemy]: Create a 16-bit pixel art sprite sheet for a fast moving enemy vehicle in a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames, facing and moving to the right. Frame 1: idle/approach. Frame 2: motion frame. Frame 3: completing the movement. Transparent background, no shadow, no text, no UI, crisp 16-bit pixel art. Enemy: Data Train, an abstract subway/train-like vehicle made of dark metal, blue/cyan data blocks, glowing green front light, glitching code trail, designed for underground network tunnels. No driver, no readable logos. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*",https://drive.google.com/file/d/1mHVbSjtyFqLRQhQP_03KtqG-sxLn8zGe/view?usp=drive_link,Sprite Sheet inimigo: Trem de Dados,Vazio,
Flow Studio Nano Banana,"[Prompt Base]: Create a 16-bit pixel art sprite sheet for a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames of the same character, facing and moving to the right. Frame 1: idle pose. Frame 2: walking/running movement. Frame 3: completing the movement step. Transparent background, no shadow, no text, no UI, no weapons unless described, consistent proportions across frames, crisp pixel art, limited 16-bit color palette, dark 1990s computer simulation aesthetic, subtle green/cyan digital corruption details. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*


[Prompt Enemy]: Isolation Protocol. A tall armored protocol guardian with rectangular data shields, no human face, magenta and green corrupted security markings, heavy digital armor, blocky shoulders, one arm forming a hard-light wall projector. It should feel like a security process designed to block routes and isolate the player. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*",https://drive.google.com/file/d/1Rc2g22KZoAL9StV97W20bTBWWwhch8y3/view?usp=drive_link,Sprite Sheet inimigo: Protocolo de Isolamento,Vazio,
Flow Studio Nano Banana,"[Prompt Enemy]: Create a 16-bit pixel art sprite sheet for a boss enemy in a 2D action roguelike game called Hacking Survivors. The sprite sheet must contain exactly 3 horizontal frames, facing and moving to the right. Frame 1: idle dominant stance. Frame 2: heavy movement/activation step. Frame 3: completing the movement. Transparent background, no shadow, no text, no UI, crisp 16-bit pixel art, larger boss scale than normal enemies. Boss: GATEWAY, a central routing entity of the simulation's network layer, part machine, part digital altar, with a glowing cyan-green core, cable crown, floating router plates, satellite node sockets, angular non-human silhouette, powerful and intelligent. It should not look like Rex or any human character. *The character must be different from Rex and must not have Rex's face, hairstyle, clothes, or body shape.*",https://drive.google.com/file/d/1ppyLhOUChLCFOwpglRyWyS7OO2nVJFZb/view?usp=drive_link,Sprite Sheet inimigo: Gateway,Vazio,
