,,,,,,,,
Tabela com Modelos e Prompts utilizados para gerações,,,,,,,,
Modelo,Prompt,Resultado,Personagen/Objeto,Observação,,,,
Gemini Nano Banana,Preciso que a segunda imagem esteja no clima/horário correspondente ao da primeira imagem. E também preciso que o fundo seja condizente com a visão que teriamos no convés do barco que está a direita na primeira imagem,https://drive.google.com/file/d/14VUXglczmZTN-hQT8nQCe9v-jwq30f6r/view?usp=drive_link,Cenário: Convés Maré Alta de tarde na ilha,Pedi para que o clima da imagem fosse alterado para ficar semlhante ao da referência,,,,
Flow Studio Nano Banana,"Remova a placa escrito ""Mansão"", emova também o simbolo do gemini e as tochas de fogo",https://drive.google.com/file/d/1YF3bBdJtpdaoXbXrzJlgElbt68_vwaTB/view?usp=drive_link,Alterações no Cenário Conves Maré Alta de tarde na ilha,"Pedi para remover o simbolo do gemini, a placa mansão e as tochas.",,,,
Gemini,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário da porta da mansão do João Feijão, baseie-se na mansão que aparece no canto superior direito da imagem enviada para referência. A cena a ser feita será exatamente na frente da porta, antes de o jogador entrar la.


E o estilo visual deve ser condizente com o do personagem PinkBob também enviado como referência estética.","A front-on, detailed digital painting environment asset of the main entrance to João Feijão’s Mansion (as seen in the background of). The scene is from a ground-level viewpoint, looking slightly up at the massive front door, just before entry. The artwork features bold, expressive black outlines and rich, hand-painted textures, strictly matching the gritty, tactile, and highly detailed concept art model style seen in the character reference. Forms are sculpted and three-dimensional, with rich, deeply saturated colors dominated by warm golden hues and contrasting cool blue-green shadows, especially in the recessed area under the portico.

The central focus is an imposing, deeply textured double door made of dark, heavily weathered wood, studded with extensive hand-wrought iron hardware and filigree. It has large, elaborate dark metal pull-handles and a complex, weathered brass lockplate. The door is set within a grand, weathered plaster archway with ornate dark wood and detailed stone trim (as suggested by the mansion reference architecture). Flanking the door are two massive, ornate brass lamps with warm-glowing, flickering flames that cast dramatic volumetric lighting with strong highlights and deep, textured shadows across the weathered walls. Above the door is a detailed balcony with an intricate iron railing, with vines creeping up the wall. A sculpted, stylized motif of João Feijão's favorite object or unique pirate motif is set into the stone above the arch. A polished, slightly weathered wooden plaque next to the door features elegant golden calligraphy reading: **""MANSÃO DO JOÃO FEIJÃO""** or just **""MANSÃO""**, clearly legible. The ground consists of polished wood and marble tiles showing wear. The background beyond the portico is in deep shadow. The overall feel is wealthy yet tactile and lived-in.",Cenário: Mansão do João Feijão,Enviei o porto do ep 2 e o pinkbob como referencia e pedi para fazer o cenário,,,,
Gemini,"Eu estava pensando em uma frente um pouco mais parecida com o rascunho que estou enviado agora, pode ajustar?

Quero passar uma vibe meio terror nesse lado de fora, como se fosse uma mansão super chique mas que está ""abandonada"" pelo menos pelo lado de fora parece que vai ser algo assustador","Aqui está o prompt de texto detalhado para a arte do cenário da porta da mansão, ajustado para refletir o seu rascunho e a atmosfera de ""terror abandonado chique"", mantendo o estilo visual de PinkBob.

***

**Prompt de Geração de Imagem (Cenário de Jogo - Porta da Mansão):**

Uma ilustração frontal detalhada do cenário da entrada principal da Mansão do João Feijão, vista do nível do solo, logo antes da entrada. A estrutura é uma versão desbotada e deteriorada da mansão de madeira escura ornamentada e chique vista em `Porto_ep2_final.jpg`, agora carcomida por traças e coberta por teias de aranha espessas e poeira, criando uma vibe de terror e abandono chique. A iluminação é volumétrica e fraca, vinda de um céu noturno nublado, com névoa rastejante. O estilo de arte é arte digital pintada à mão com contornos pretos ousados, texturas rústicas e detalhadas e renderização de alta qualidade, semelhante a concept art ou assets de jogos de alta qualidade, condizente com o personagem PinkBob em `pinkbob_com_rum.jpg`.

**Integração do Rascunho:**
A entrada central, incluindo o arco acima e a porta dupla, é moldada como uma caveira gigante e assustadora. O arco de madeira acima da porta forma os olhos vazios e a cavidade nasal da caveira. Pequenas janelas estreitas e escuras e teias de aranha enchem essas cavidades.

**Detalhes da Porta:**
A porta dupla central é de madeira escura e rústica, coberta por ferragens de ferro forjado pesado e oxidado. Há puxadores de metal que parecem garras e um ferrolho complexo e corroído. O prompt deve incluir a placa solicitada anteriormente, agora desbotada e corroída. Ela é feita de madeira e brass dourado oxidado, com caligrafia dourada e elegante, agora desbotada e corroída, lendo: **""MANSÃO DO JOÃO FEIJÃO""** ou apenas **""MANSÃO""**, quase ilegível.

**Decoração e Atmosfera:**
Lâmpadas de metal ornamentadas e desmoronadas estão penduradas, sem luz, cobertas por poeira. A vegetação selvagem e espinhosa cresce nas frestas da madeira e da pedra carcomida. Teias de aranha espessas cobrem a placa desbotada. O chão de madeira polida está empenado e coberto de poeira e detritos. Uma videira de espinhos cresce em torno do ferrolho corroído. A vibe geral é de luxo que sucumbiu ao terror e ao tempo.

***

**English Text Prompt for Other AI:**

A detailed front-on digital environment background illustration of the main entrance to João Feijão’s Mansion, viewed from a ground-level perspective, right before entry. The scene is a faded, decaying, moth-eaten and dust-covered version of the ornate, chic dark wood architecture seen in `Porto_ep2_final.jpg`, creating a sense of horror and abandoned luxury. The lighting is weak, cool, and dramatic volumetric light from a cloudy night sky, with low-creeping mist and deep textured shadows. The art style features bold, expressive black outlines, rich hand-painted textures, and high-quality volumetric rendering, similar to concept art or high-end game assets, consistent with the visual aesthetic of the character PinkBob in `pinkbob_com_rum.jpg`.

The central entrance, including the archway above and the double door, is explicitly shaped like a giant, imposing skull. The wooden archway above the doors forms the wide, empty eyes and nasal cavity of the skull. Small, dark, narrow windows and thick cobwebs fill these cavities. The central double doors are made of dark, weathered wood heavily studded with extensive, oxidized wrought iron hardware and filigree. Large, ornate metal pull-handles that resemble claws and a complex, corroded iron bolt mechanism are present.

An ornate, corroded, faded brass plaque is mounted next to the door with once-elegant golden calligraphy, now faded and corroded, reading: **""MANSÃO DO JOÃO FEIJÃO""** or just **""MANSÃO""**, barely legible through dust and cobwebs. Ornate, dilapidated metal lamps are hung, unlit and covered in dust. Wild, thorny, unkempt vegetation grows through cracks in the aged wood and stone. A thick cobweb covers the faded sign. The floor of polished wood is warped and covered in dust and debris. A thorny vine wraps around the corroded ironwork. The overall mood is luxurious yet terrifying and decayed.",Cenário: Mansão do João Feijão,Enviei um esboço digital feito a mão da entrada da mansão,https://drive.google.com/file/d/1UeAeU7ImKH6urfarrtRvkomLvQgIs8Pr/view?usp=drive_link,,,
Flow Studio Nano Banana,"A strictly head-on, eye-level digital environment background illustration of the main entrance to João Feijão’s luxurious but abandoned pirate mansion. The scene is a direct, straight-on frontal view of the skull-shaped doorway, perfectly centered and balanced within the frame, with all architectural lines parallel and no vertical distortion, as if viewed straight-on at eye level. The structure is composed of ornate, dark wood and weathered stone, showcasing a faded, moth-eaten grandeur. The architectural design is uniquely terrifying: the central entrance, including the upper archway and the double doors below, is explicitly shaped to form the visage of a giant, symmetrical skull. The large wooden archway above the doors, now directly in front of the viewer, forms the wide, empty eye sockets and nasal cavity of the skull, which are filled with small, dark, shattered window panes and thick, heavy cobwebs.

The central double doors sit perfectly flat and centered beneath the archway, acting as the lower structure of the skull. They are made of dark, heavily weathered, and warped wood, studded with extensive, oxidized wrought iron hardware and elaborate, rusted filigree. They feature large, ornate metal pull-handles designed to resemble twisted, skeletal claws, along with a complex, severely corroded iron locking mechanism. Flanking the doors, the once-chic plaster and polished wood trim is peeling, cracked, and decayed, exposing the rotting stonework and structural beams underneath.

Mounted on the wall symmetrically next to the door is an ornate, heavily corroded brass plaque. It bears once-elegant golden calligraphy that is now faded and barely legible through layers of dust and spiderwebs, reading ""MANSÃO DO JOÃO FEIJÃO"". Unlit, dilapidated metal lanterns hang crookedly and symmetrically from the walls, caked in grime and rust. Wild, thorny, unkempt vegetation and creeping dead vines force their way through cracks in the aged wood and the warped, dusty floorboards that fill the bottom horizontal foreground. The scene is strictly frontal, with all elements aligned symmetrically against the deep shadows of the mansion’s recessed entrance.

The image exhibits a digital painting aesthetic with a focus on detailed rendering and environment-driven fantasy illustration. The style is reminiscent of high-quality video game concept art, featuring bold, expressive black outlines and rich, tactile textures (consistent with the visual aesthetic of the character PinkBob reference). Color hues are deep but muted by decay, employing a palette dominated by cool, eerie blues and sickly greens from a cloudy night sky, contrasting with the dark browns, grays, and rusted oranges of the rotting wood and metal. Lighting is dramatic and volumetric, utilizing low-creeping mist and strong, directional moonlight to cast deep, textured shadows, giving the architecture a three-dimensional, sculpted quality. The rendering quality is high, featuring sharp details in the rough wood grain, the flaking rust, and the delicate threads of the cobwebs. Brushwork, though digitally applied, suggests traditional painting techniques, with noticeable texture variations emphasizing the rough, worn, and abandoned appearance. The overall mood is terrifying, melancholic, and highly stylized, blending ruined luxury with pirate horror.",https://drive.google.com/file/d/1FuD_chjKZYyk6PfBay7MJUyLMyugW4D2/view?usp=drive_link,Cenário: Mansão do João Feijão,"Usando o prompt de personagem do Whisk para reforçar como faz o estilo, pedi um prompt melhor da entrada da casa, e com o prompt usei no flow studio",,,,
Flow Studio Nano Banana,"Retire o cadeado da porta.
Adicione também uma pequena luz tremula saindo de dentro da casa",https://drive.google.com/file/d/1kVZ9FA_A7jN1taTpJ94yg6ZT42JsRRAV/view?usp=drive_link,Cenário: Mansão do João Feijão,Pedi uma edição na imagem,,,,
Flow Studio Nano Banana,"A strictly frontal, eye-level digital illustration of an environment background, specifically the main entrance lobby of a pirate mansion. The scene is viewed straight-on immediately after crossing the threshold. In stark contrast to its terrifying, decayed exterior, the interior is in immaculate, pristine condition, fully renovated to resemble a high-end, corporate luxury headquarters. The architecture is perfectly symmetrical, featuring smooth, pristine white walls and flawless, polished dark wood paneling without a single speck of dust, cobweb, or decay.

The floor is constructed from expansive slabs of highly polished, highly reflective black marble, intricately inlaid with gleaming, pristine gold brass geometric patterns. The lighting is anachronistically modern but warm, featuring sleek, recessed LED cove lighting in the ceiling and immaculate, polished brass and minimalist glass chandeliers. The furniture is ultra-minimalist and elegant, utilizing modern materials like polished black leather and brushed steel, blending a sterile corporate aesthetic with pirate wealth.

In the exact center sits a sleek reception desk carved from a single block of flawless white marble, topped with tempered glass and an anachronistically modern, minimalist computer terminal. Mounted on the immaculate wall directly behind the desk is a gleaming, perfectly polished brass sign with clean, modern sans-serif typography that reads clearly: ""RECEPCIONISTA"", and just below it, ""BEM-VINDO AO PATRIMÔNIO HISTÓRICO - RESTAURADO COM PERFEIÇÃO"". Flanking the desk are sterile, minimalist glass display cubes resting on the floor, containing ridiculously over-polished pirate artifacts, like a gleaming silver hook with a neat corporate label. A pristine, gilded ship's wheel hangs symmetrically on the wall as abstract corporate art.

The image exhibits a digital painting aesthetic with a focus on detailed rendering and environment-driven fantasy illustration. The style is reminiscent of high-quality video game concept art, maintaining the bold, expressive black outlines and rich, tactile painting style of the character references, but ingeniously applied to immaculate, reflective surfaces rather than rugged ones. Color hues are rich and highly saturated, employing a luxurious palette dominated by sleek blacks, stark whites, deep polished browns, and gleaming golden brass. Lighting is dramatic but clean, utilizing strong, volumetric highlights on the polished marble and glass to give the room a sterile, three-dimensional, sculpted quality and emphasize the perfectly smooth textures. Brushwork, though digitally applied, suggests traditional painting techniques, keeping the grounded, hand-drawn feel alive even in a pristine setting. The overall mood is absurdly wealthy, pristine, and humorously anachronistic, perfectly executing the joke of a terrifying pirate lair turned into an overly sterile, heavily funded historical heritage site.",https://drive.google.com/file/d/1eu0tWOU7_kucKSMeqZbNV4TOGVB_Jtje/view?usp=drive_link,Cenário: Saguão Mansão do João Feijão,"Dei o exemplo novamente de prompt do Whisk para reforçar o estilo de prompt, a imagem do PinkBob, a imagem da mansão e pedi:
Agora, com base no mesmo estilo visual e story spine do jogo, faça o prompt para a arte do cenário do saguão da mansão do João Feijão. A imagem de referência é do lado de fora, no entanto a mansão por dentro é um contraste muito forte, já que ela está em perfeito estado, toda reformada e polida, uma moradia digna de um magnata dos 7 mares. O cenário é pensado para ser uma piada anacrônica que brinca com propriedadas tombadas por patrimonio histórico.


E o estilo visual deve ser condizente com o do personagem PinkBob também enviado como referência estética.",,,,
Flow Studio Nano Banana,"Remova todos os elementos da imagem, com excessão da mesa da recepção, e deixe um fundo totalemente branco",https://drive.google.com/file/d/1_tOsKyBfw6tmRrf9KpZ5bcV15pm8leZT/view?usp=drive_link,Objeto: Mesa do Saguão da mansão do João Feijão,Pedi para fazer uma imagem apenas com a mesa,,,,
Flow Studio Nano Banana,"Shirley, João Feijão's Mansion Receptionist

A full-body digital illustration of a female character, Shirley, the receptionist of João Feijão's Mansion, standing against a plain white background for cutout clarity. She is a composed, authoritative woman in her 40s or 50s, with a serious, austere expression. Her skin tone is dark. Her dark brown hair is impeccably coiffed in a textured, polished bob, with no flyaways, reflecting light with precise, clean highlights (contrasting the loose, wild highlights of the reference). She wears spectacles with fine, round wire-frame lenses, giving her a precise, scholarly appearance, looking over them with a stern, assessing gaze.

She is dressed in a deeply textured, polished, un-tattered velvet naval-style jacket (the same type of jacket, but immaculate and rich, in bordeaux) with intricate gold embroidery and polished brass buttons, worn over a pristine, textured ivory silk corset and a smooth, un-torn dark brown skirt. A small, clean brooch bearing the mansion's emblem is on her lapel.

She stands behind a section of a deeply polished dark wood reception counter. Her right hand rests upon an impeccably clean leather-bound registry book, which is open. Her left hand holds a clean, sharp quill with a perfect feather (contrasting the reference's tattered, unkempt hand and bottle). A small wax seal stamp sits next to the book.

The art style is a strict match to the hand-painted digital concept art aesthetic seen in, featuring bold, expressive black outlines and rich, tactile brushwork textures. Volumetric lighting and dramatic, cool-toned shadows sculpt her form, giving her a serious, commanding three-dimensional presence. Highlights are precise and clean, contrasting the wild highlights of the reference. Color hues are deeply saturated and rich, employing a palette of bordeaux, gold, ivory, and polished woods, with cool-toned shadows (blue/green, like the reference) emphasizing textures. Brushwork suggests traditional painting techniques with noticeable texture variations in the shadows and mid-tones. The overall mood is serious, authoritative, and polida, contrasting the reference's wild energy. The background is pure white.",https://drive.google.com/file/d/1CmLgOjM7qF5O2UANRVdj8iDEqSlOt_rL/view?usp=drive_link,NPC: Shirley (Recepcionista de João Feijão),"Agora seguindo essa mesma estrutura de criação de prompts em inglês, e baseando-se no story spine do jogo e estilo, quero que você crie o prompt para a personagem ""Shirley"" que será a recepcionista da mansão do João Feijão. Ela se veste super bem, está sempre com o cabelo impecavel e usa óculos que a deixam com uma aparência séria.

E o estilo visual deve ser condizente com o do personagem PinkBob também enviado como referência estética.",,,,
Flow Studio Nano Banana,Pode trocar o livro na mão por um tablet?,https://drive.google.com/file/d/1V_C6H37I_mKrG5THXstMhPALZs6_OGSk/view?usp=drive_link,NPC: Shirley (Recepcionista de João Feijão),Pedi uma edição na imagem,,,,
Flow Studio Nano Banana,"A 3-frame horizontal animation sprite sheet strip against a solid pure white background, rendered in a rich, hand-painted digital illustration style with bold, expressive black outlines and deep, tactile textures, strictly matching the visual aesthetic and character definition of the serious older Black woman 'Shirley' in the reference image. The character is depicted in a full-body or half-body seated pose at her rustic wooden desk, centered and balanced in all frames. Dramatic volumetric lighting highlights the matted texture of her short grey hair and the intricate gold embroidery on her deep bordeaux naval-style jacket with its plaid lining. She retains her round wire-frame spectacles.

The Animation Sequence (Tablet Stylus Stroke - 3 Frames):

Frame 1 (Initial State - Left): Shirley is seated at her base posture. She holds the specific feather stylus pen in her right hand, raised and hovering several inches above the surface of the rustic tablet, poised to begin. Her serious eyes are focused intently on the tablet screen. The glass ink bottle and small brass seal stamp are on the desk beside the tablet. The perspective is frontal and direct.

Frame 2 (The Contact - Middle): Shirley lowers the feather stylus pen. The tip of the feather stylus is now in direct contact with the screen of the rustic tablet. Shirley is leaned slightly forward with concentration. Her serious expression is identical, but her eyes are slightly narrowed in focus. A subtle, light-colored scribble or line is visible on the tablet screen where the stylus has touched.

Frame 3 (The Recovery - Right): Shirley lifts the feather stylus pen back. The stylus is again hovering above the tablet, in a position similar to Frame 1, but perhaps slightly higher or with a subtle expression of completion. Shirley is leaning back slightly, returning to her base seated posture. The subtle line or scribble remains visible on the tablet screen. The perspective remains frontal and balanced.

All three poses are aligned on the ground plane, perfectly spaced horizontally on a pure white background. The full body or half body seated form is visible in all frames, ensuring no parts are cut off. The intricate textures of the jacket, the worn wood of the desk, and the aged paper of the tablet are consistent across all frames. The overall mood is serious, authoritative, and focused.",https://drive.google.com/file/d/1PtHeoKM4Kw7bIn40qJY7HepSKwwufC1t/view?usp=drive_link,Sprite sheet: NPC Shirley,"Agora eu preciso do prompt textual, seguindo o padrão que te ensinei, para uma sprite sheet da personagem enviada na imagem utilizando o tablet em 3 frames, passando a pena (como uma stylus) na tela e voltando ao estado inicial",,,,
Flow Studio Nano Banana,"Remova a mesa, a cadeira e o tinteiro da imagem",https://drive.google.com/file/d/1RNC9QABQiToMXhTAOFviSWPX-febJPZ1/view?usp=drive_link,Sprite sheet: NPC Shirley,Edição no sprite sheet,,,,
Flow Studio Nano Banana,"A wide-angle, eye-level digital illustration of an environment background, specifically the central and forward deck of the luxurious pirate galleon 'Pink Pearl'. The scene is viewed from a head-on, game-level perspective under a dramatic, deep golden sunset with voluminous clouds and light shafts. The deck layout is highly opulent, replacing typical rough nautical aesthetics with polished, high-end materials that reflect extreme wealth, combining pristine luxury with a pirate theme. The background features the bustling, affluent docks and a smaller, weathered ship docked nearby, all bathed in the warm, golden evening light.

The deck floor is constructed from a blend of dark, highly polished wood and pristine black marble slabs, accented with intricate, gleaming gold brasswork. Prominently in the central focus is a closed, ornate cabin door for the Captain, crafted from deep bordeaux polished wood with white marble panels, brass filigree, and a prominent gilded emblem of Captain Pinkbeard. Flanking this grand door are elaborate, highly polished brass lanterns emitting warm, flickering light. Nearby on the polished deck, a high-quality wood and brass hatch is deliberately half-open, revealing a dark, recessed view into the tidy crew quarters below, with a plush pink velvet rug positioned right next to it. In the precise middle of the deck foreground, the ornate, polished brass and marble railing features a formal grand opening, through which a polished wood and gilded brass staircase descends, leading outside the ship and down towards the dock. 

The image exhibits a digital painting aesthetic with a focus on detailed rendering and environment-driven fantasy illustration. The style is reminiscent of high-quality video game concept art, maintaining bold, expressive black outlines and rich, tactile brushwork. Color hues are deeply saturated and rich, employing a luxurious palette dominated by polished browns, stark whites, deep polished pinks and bordeaux reds, and gleaming gold, contrasted by cool blue and green tones in the shadows. Lighting is dramatic and volumetric, utilizing strong directional golden sunlight and deep shadows to give objects and architectural forms a three-dimensional, sculpted quality and emphasize the perfectly smooth, clean, and highly finished textures. Brushwork, though digitally applied, suggests traditional painting techniques, keeping a grounded, hand-drawn feel alive even in a pristine setting. The overall mood is affluent, meticulous, and humorously opulent, blending high-end design with stylized pirate fantasy.",https://drive.google.com/file/d/19hkzDcvo-IUC5TE3moLZpruh9dibEemx/view?usp=drive_link,Cenário: Convés Pérola Rosa,"Agora, com base no mesmo formato de prompt que te ensinei, estilo visual e story spine do jogo, faça o prompt para a arte do cenário do convés do navio ""Pérola Rosa"". A imagem de referência é do lado de fora, mais especificadamente o navio da esquerda. O convés deve ter uma porta chique que leva para a cabine do capitão que está fechada. Também no convés é preciso ter um alçapão meio aberto que vai levar para o alojamento da tripulação. E no meio do convés, no corrimão deve haver uma abertura por onde passa a escada que leva para fora do navio.


E o estilo visual deve ser condizente com o do personagem PinkBob também enviado como referência estética.","Foi preciso enviar um reforço antes:
Por favor, faça o prompt EM TEXTO do cenário seguindo essa estrutura de exemplo:

A full-body digital illustration of a male pirate character standing against a plain white background. The character appears to be a man in his 30s or 40s with a fair skin tone. He has bright, fiery red hair and a matching full beard, giving him a somewhat rugged look. He is wearing a typical pirate outfit. His head is adorned with a black tricorn hat, slightly cocked to one side, with gold trim and possibly a small skull or decorative element visible on the front.

He is dressed in a long, dark blue or slate-colored naval coat with golden buttons and red lining visible at the collar. Underneath the coat, he wears a white, somewhat ruffled shirt. His lower body is covered by striped trousers, featuring vertical alternating stripes of dark blue/black and light blue/white. He is wearing dark brown leather boots that reach approximately mid-calf.

The pirate is holding a dark glass bottle in his left hand, which is labeled with the word ""RUM"" and features a skull and crossbones emblem, suggesting a potent or dangerous beverage. His pose is frontal and confident, with his legs slightly spread and his expression showing a slight, mischievous smile. The art style is detailed and somewhat realistic, resembling character concept art or a video game character model. The image is cropped with black bars on the left and right, framing the central illustration.

The image exhibits a digital painting aesthetic with a focus on detailed rendering and character-driven fantasy illustration. The style is reminiscent of concept art or high-quality video game assets. Color hues are rich and slightly muted, employing a palette dominated by deep blues, browns, and earthy tones, contrasted by warm accents like the reddish-orange in the beard. Lighting is dramatic and directional, utilizing strong highlights and deep shadows to give figures a three-dimensional, sculpted quality and emphasize texture. The rendering quality is high, featuring sharp details, particularly in facial features and fabric textures, which have a rough, worn appearance. Brushwork, though digitally applied, suggests traditional painting techniques, with noticeable texture variations in the shadows and mid-tones. The overall mood is adventurous and stylized, with a slight exaggeration of features common in character design. The background is pure white, creating a cutout effect that emphasizes the subject and suggests an illustrative or reference context rather than a natural environment.",,,
Flow Studio Nano Banana,"Remova apenas a porta do alçapão. 
Remova as escadas no canto inferior direito.
Remova todas as barraquinhas da imagem.
Adicione uma escada que conecta o primeiro andar do convés ao segundo e adicione um timão no segundo andar.",https://drive.google.com/file/d/1rSYVTZ1PsTTwxTdVt260j1b1ZFgpducs/view?usp=drive_link,Cenário: Convés Pérola Rosa,Edição no cenário,,,,
Flow Studio Nano Banana,"Remova o timão que está no primeiro andar.
abra a porta do alçapão",https://drive.google.com/file/d/11IB6yiTgnWO3BEsl-nkkxHdp3ougX4k-/view?usp=drive_link,Cenário: Convés Pérola Rosa,Edição no cenário,,,,
Flow Studio Nano Banana,"Uma pintura digital de interior detalhada e atmosférica, de uma perspectiva frontal-inferior olhando para cima, para o alojamento da tripulação no porão inferior do galeão pirata 'Pérola Rosa', respeitando exatamente o ângulo de câmera e a perspectiva do layout de referência. O porão cavernoso de madeira rústica e maciça é dramaticamente iluminado por lanternas de óleo quentes e tremeluzentes penduradas nas vigas. O foco central-esquerdo é a escada de madeira rústica que sobe da base inferior esquerda em direção ao centro superior do teto, levando a uma escotilha circular com grade de ferro e ferragens complexas, onde a luz do sol do convés superior penetra. Na área inferior esquerda, barris de suprimentos e caixas envoltas em cordas estão empilhados. Pendurada elaboradamente entre as vigas do teto, no centro-esquerda, está uma rede de dormir luxuosa e super chique feita de cetim importado da Arábia com padrões complexos em bordeaux, ouro e turquesa, forrada com tecidos de seda e almofadas de veludo de pelúcia. Um pirata super elegante está dormindo profundamente nesta rede de cetim, vestido com um casaco de veludo rico bordeaux com bordados de ouro, uma camisa de seda com babados e um lenço de pescoço de seda. Sua barba bem cuidada é visível e ele está coberto por um lençol de seda. Abaixo da rede, no chão de tábuas de madeira polida, está um baú de tesouro super chique e destrancado feito de madeira escura com incrustações de marfim, madrepérola e ouro polido, com suas ferragens de bronze ornamentadas destrancadas. A tampa está ligeiramente aberta, revelando brilhos de joias, moedas de ouro e rolos de seda. Ao lado do baú, as botas do pirata de couro de jacaré texturizado estão no chão; elas são de cano alto com fivelas de bronze, polidas e bem cuidadas. O resto da cena apresenta mais redes penduradas, barris, efeitos de tripulação e ferramentas, criando um porão denso, mas opulento. A atmosfera é calma, com o suave ranger do navio. Estilo de pintura digital realista e de alta definição com cores profundas e ricas e texturas meticulosas.",https://drive.google.com/file/d/1MZCNigMjNU_TKSHwAukzAYUX2wDtQdj6/view?usp=drive_link,Cenário: Alojamento Pérola Rosa,"Agora eu preciso do prompt textual para o alojamento do navio pérola rosa, localizado em seu porão. No canto esquerdo há uma escada que leva para o convés. Lá um pirata super elegante vai estar dormindo em uma das redes de setim importado da árabia. perto dele, um baú destrancado e super chique está no chão. Perto da rede, no chão, estão as botas do pirata, feitas de couro de jacaré.

Respeite exatemente o ângulo de camera do desenho de referência. ",,,,
Flow Studio Nano Banana,"Remova essa tampa.
O buraco do alçapão deve ser retangular e ele não tem porta",https://drive.google.com/file/d/1lk5b9mi3oLjoy83COv93hmdpmn-ENE64/view?usp=drive_link,Cenário: Alojamento Pérola Rosa,Edição no cenário,,,,
