,,,,,
Tabela com Modelos e Prompts utilizados para gerações,,,,,
Modelo,Prompt,Resultado,Personagen/Objeto,Observação,
Adobe Firefly,Just one proeminent mouse click,https://drive.google.com/file/d/1Dh4PwPnXbR_Mzs9p6GYWUaR4qk1qPezn/view?usp=drive_link,Efeito de clique do mouse,,
Adobe Firefly,"Sudden burst of applause and cheering, exciting climax, high energy win.",https://drive.google.com/file/d/1j4EnCHfzzRjYfXKm1TqSRBHN4z34HK5e/view?usp=drive_link,Efeito aplausos,"Prompt usar no adobe firefly que gera sons, preciso de um som de aplausos vindo de uma multidão, para comemorar que o jogador venceu o jogo",
Adobe Firefly,Choirs sound,https://drive.google.com/file/d/1b1PyEhBg031f1WbXhraUUKYsrdyWLLIY/view?usp=drive_link,Choirs sound,,
Adobe Firefly,Cartoon character hitting the ground,https://drive.google.com/file/d/16XsFC3QnzJY6OY2-JOcum-dLbi5Gd19C/view?usp=sharing,landing sound,,
KlingAI,light switch sound,https://drive.google.com/file/d/1pK2LCQIAQbTc5ZeNHskxD_32tib7mW4q/view?usp=drive_link,credits sound,,
KlingAI,"Short dull thuds, cartoon character walking, dry sound, no reverb, distinct impacts, 2D platformer style",https://drive.google.com/file/d/1QCK9r0bvxeOkmP4T58uf-t-Pf1X_zwL_/view?usp=drive_link,Step sound,"Agora um prompt para o klingai de sons também, dessa vez vai ser o som de passos do personagem de um jogo 2d point and click",
KlingAI,"Quick cartoon grab sound, cloth swish, air whoosh, fast movement, dry sound, no reverb, funny animation style.",https://drive.google.com/file/d/1uaRwFFIHZrPjheIh3siIrdgK6hzQ1dNF/view?usp=drive_link,Use sound,Agora o som do personagem pegando uma coisa,
KlingAI,"Liquid glugging from a bottle, bubbles surfacing, quick swig, cartoon sound effect, pirate drink",https://drive.google.com/file/d/1FlrAV67T_3ms2CIuHiclpHzLep1BVImX/view?usp=drive_link,Drink Sound,Agora o som de um pirata tomando rum,
Flow Studio Nano Banana,"On the island ""Porto Ressaca,"" make the following modifications:
* Reduce the number of houses in the village to a maximum of 5 houses very close to each other.
* To the right of the Hotel, remove the houses and replace them with a small forest.

* Add a land road connecting the locations as follows: Theater -> Beach; Beach -> Port; Beach -> Village; Village -> Port; Village -> Hotel.

On ""Ilha das Histórias,"" make the following modifications:
* Reduce the size of the mansion.

* Add a golf course and a swimming pool to the island.

* On the two smaller surrounding islands, add typical Caribbean island trees such as coconut palms.

On ""Reino das Nuvens,"" make the following modifications:
* Add a garden to the right of the castle, without increasing the size of the cloud.

* Add a satellite TV antenna to the tower on the left side of the castle.

* Add solar panels to the left side of the castle, without increasing the size of the cloud.",https://drive.google.com/file/d/1cYGNqSv42TtZkGhH_yb_v7Y2x9kLFAxG/view?usp=drive_link,Mapa geal do jogo Refinado,Usei imagem que fiz do mapa do jogo como base e o story Spine. Depois refinei a imagem gerada pedindo modifiacações.,
Flow Studio Nano Banana,"A wide-angle, stylized 2D background scene rendered in a rich, hand-painted digital art style with deep, painterly textures and soft, volumetric lighting, typical of high-quality 2D adventure game assets. The art style perfectly matches the aesthetic of a detailed painted character sprite, blending realism with caricature.

The scene depicts a sunny, tropical shoreline on the island of ""Porto Ressaca,"" viewed from a side-scrolling perspective.

The Navigation Signposts (Crucial Layout):

On the Far Left: A weathered, crooked wooden signpost is planted firmly in the sand. It has a wooden arrow board explicitly nailed to point towards the LEFT edge of the screen. The word ""Porto"" is hand-painted on the wood, legible and oriented correctly.

On the Far Right: A distinct, perhaps slightly fancier wooden signpost is planted on the right side. It has a wooden arrow board explicitly nailed to point towards the RIGHT edge of the screen. The word ""Teatro"" is hand-painted on it.

Foreground Elements: The ground is a wide expanse of warm, golden sand rendered with high-quality granular texture, showing small dunes, scattered pebbles, and footprints. Scattered haphazardly across the sand are several empty glass rum bottles. These bottles match the style of the pirate's inventory: dark glass, cork stoppers, and ""RUM"" labels, lying on their sides or half-buried, implying a trail left by a drunkard.

Background Elements: The ocean stretches across the horizon in bands of rich turquoise and deep blue with painterly white foam lines. Floating in the distance on the upper right side is a stylized wooden sloop (small ship) with a single white triangular sail, bobbing on the water. A large, stylized, fluffy white cloud dominates the upper left sky.

Lighting and Atmosphere: The lighting is bright and warm (morning sun), casting distinct, soft-edged shadows from the signposts and bottles onto the sand to give them volume and ground them in the scene, ensuring the background has the same depth and finish as the main character.",https://drive.google.com/file/d/1O4ZNT6BO_FPTX2y5Ez6QeLC0ZTIh-L3-/view?usp=drive_link,Cenário: Praia,"Utilizando um desenho da praia feito a mão, e uma imagem do protagonista gerada anteriormente, pedi um prompt para o gemini:

Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário da praia, assim como na figura enviada. Adicione reforçadores para seguir a direção correta das placas.

E o estilo visual deve ser condizente com o do personagem também enviado na imagem",
Flow Studio Nano Banana,"A wide-angle, stylized 2D background scene rendered in a rich, hand-painted digital art style with deep, painterly textures and soft, volumetric lighting, typical of high-quality 2D adventure game assets. The art style perfectly matches the aesthetic of the detailed painted character sprite.

The scene depicts the dockside of ""Porto Ressaca,"" viewed from a strict side-scrolling perspective.

The Ship (Crucial Correction: Flat Side View): Dominating the left and center background is the massive wooden hull of a large pirate ship, presented in a direct, flat side-profile view running parallel to the dock and the screen. It is not angled diagonally. It forms a towering wall of dark, weathered oak planks, textured with wet patches and barnacles near the waterline.

Gangplank: A sturdy wooden gangplank descends from the ship's deck side straight down to the dock floor.

Mooring: Heavy, sagging ropes connect the ship's side directly to thick wooden bollards on the dock.

The Navigation Signposts (Crucial Layout): Following the reference sketch precisely:

On the Far Left (Near the ship's stern): A weathered wooden signpost is planted on the dock. It has a wooden arrow board explicitly nailed to point towards the LEFT edge of the screen. The word ""Praia"" (Beach) is hand-painted on it.

On the Far Right: A distinct wooden signpost is planted on the right side of the dock. It has a wooden arrow board explicitly nailed to point towards the RIGHT edge of the screen. The word ""Vila"" (Village) is hand-painted on it.

Foreground Elements: The ground is a sturdy wooden pier structure with visible plank grain, running horizontally across the entire frame.

Atmosphere & Lighting: Warm, tropical sunlight casts soft shadows, highlighting the textures of the flat ship hull and the pier planks, ensuring the background has the same depth and finish as the main character, despite the flat perspective.",https://drive.google.com/file/d/17fnqsUyJUNK1biws7Y15LBI3kmuvZEgr/view?usp=drive_link,Cenário: Porto,"Utilizando um desenho da praia feito a mão, e uma imagem do protagonista gerada anteriormente, pedi um prompt para o gemini:

Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário do porto pirata, assim como na figura enviada. Adicione reforçadores para seguir a direção correta das placas.

E o estilo visual deve ser condizente com o do personagem também enviado na imagem.",
Flow Studio Nano Banana,"A wide-angle, stylized 2D background scene rendered in a rich, hand-painted digital art style with deep, painterly textures and soft, volumetric lighting. The visual style is strictly consistent with the dark, weathered wood aesthetic of the ship's exterior hull shown in the reference image and the detailed shading of the character sprite.

The scene depicts the Main Deck of the ship, viewed from a side-scrolling perspective. The layout is arranged specifically from left to right:

Left Side (The Quarterdeck & Helm): On the far left, there is a raised section of the deck (the Quarterdeck), accessible by short, sturdy wooden steps. Perched prominently on this elevated platform is the large, spoked wooden Ship's Wheel (Helm), with brass accents glinting in the sun.

Center (The Main Deck & Mast): Moving to the center composition on the main, lower deck level, the massive, thick base of the Main Mast rises vertically through the floor planks. The base of the mast is cluttered with heavy rigging ropes tied to belaying pins on a rack around it.

Right Side (Forward Deck): The deck continues towards the right, stretching out towards the bow area. This area might feature a closed wooden cargo grate in the floor, a coiled pile of thick anchor rope, or a secured cannon pointing through a gunport in the bulwark.

Environment & Atmosphere: The entire floor is composed of thick, dark oak planks, identical in texture and wear to the ship's exterior. In the background, behind the ship's sturdy wooden railing, the bright Caribbean sky and the ocean horizon line are visible, establishing the setting. The scene is lit by warm, tropical sunlight coming from the upper right, casting distinct shadows from the mast and railings onto the deck planks.",https://drive.google.com/file/d/1NQMoqQHkr7bwtYTEYsT7T_n9e9KPduJp/view?usp=drive_link,Cenário: Convés Navio Maré Alta,"Utilizando um desenho da praia feito a mão, e uma imagem do protagonista gerada anteriormente, pedi um prompt para o gemini:

Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário do convés do navio da capitã maré alta, baseando-se na figura enviada do navio. 

E o estilo visual deve ser condizente com o do personagem também enviado na imagem.",
Flow Studio Nano Banana,Add barrels of rum near the ship's mainmast. The image should be taken closer to midday.,https://drive.google.com/file/d/1nANx6nmD6U9sEzxQILr8qYbgGOMMOV5G/view?usp=drive_link,,Pedi a IA para  deixar a imagem próxima de meio dia e com barris de rum perto do mastro,
Flow Studio Nano Banana,"A wide-angle, stylized 2D background scene rendered in a rich, hand-painted digital art style with deep, painterly textures and soft, volumetric lighting, typical of high-quality 2D adventure game assets. The art style perfectly matches the aesthetic and detailed finish of the character sprite, blending a slightly cartoonish geometry with realistic material rendering.

The scene depicts a street view in the pirate village (""Vila"") of Porto Ressaca, following the layout of the sketch.

Left Building: The Unity Bar: On the left side of the frame stands the ""Unity Bar."" It is a crooked, two-story structure built from dark, stained, and weathered wooden planks and ship timbers. It looks ramshackle and lived-in.

A hand-painted wooden sign hangs prominently above the main entrance, reading ""Unity Bar"" in rough pirate script.

It features a heavy wooden door and a shuttered window, as seen in the sketch.

Right Building: The Restaurant: On the right side stands the ""Restouraunt."" It appears slightly different in construction, perhaps plaster peeling over stone, trying to look fancier but failing.

Five tarnished brass stars are mounted on the wall above the large central archway.

Hanging by chains within the large arched entrance is a wooden sign that reads exactly: ""Fechado\nAbre depois das 18:00"".

The Navigation Signposts (Crucial Layout):

On the Far Left Edge: A weathered wooden signpost is planted in the ground. It has a wooden arrow board explicitly nailed to point towards the LEFT edge of the screen. The word ""Porto"" is hand-painted on it.

On the Far Right Edge: Another wooden signpost is planted on the right. It has a wooden arrow board explicitly nailed to point towards the RIGHT edge of the screen. The word ""Hotel"" is hand-painted on it.

Environment & Atmosphere: The ground is a packed dirt and sand street, littered with small pebbles and footprints. The scene is lit by warm, late-afternoon tropical sun, casting long, distinct shadows from the buildings and signs, giving depth and volume to the structures, matching the quality of the character reference.",https://drive.google.com/file/d/1fpxJFvEunUtTZ1ncvGdPoqsKHKyXFG9m/view?usp=drive_link,Cenário: Vila,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário da vila pirata, assim como na figura enviada. Adicione reforçadores para seguir a direção correta das placas.

E o estilo visual deve ser condizente com o do personagem também enviado na imagem.",
Flow Studio Nano Banana,"A sweeping, wide-angle landscape background scene rendered in a rich, hand-painted digital art style with deep, painterly textures and soft, volumetric lighting. The art style perfectly matches the aesthetic and detailed finish of the character sprite.

The scene depicts the expansive, dimly lit interior of the ""Unity Bar,"" emphasizing a very wide, spacious floor plan.

Left Wall (Entrance & Boarded Window): On the far left wall, serving as the main entrance, is a heavy, rough-hewn wooden door with iron hinges. Immediately next to the door, there is a window frame that has been completely sealed off using uneven, mismatched wooden planks nailed haphazardly across the opening, letting only tiny slivers of outside light through the cracks.

Back Wall (The Long Bar): Running across the entire length of the distant back wall is a long, sturdy wooden bar counter. The area behind it is shadowed, featuring shelves cluttered with various bottles and tankards, emphasizing the width of the room.

Right Side (Open Space): The right side of the room is now a wide, open expanse of worn wooden wall and floor, clear of any curtains or pillars, contributing to the feeling of a large, somewhat empty hall.

Atmosphere & Lighting: The room is illuminated by warm, amber ambient light from unseen candles or lanterns, creating a cozy but slightly dingy atmosphere. This light casts soft, long shadows across the expansive wooden floorboards and highlights the rough textures of the door, the haphazard window planks, and the long bar counter.",https://drive.google.com/file/d/1D6dawilxTb0Jb5aggExcpgbU-V2AWJro/view?usp=drive_link,Cenário: Unity Bar,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário do bar pirata (Unity Bar), assim como na figura enviada. 
E respeite a geometria do espaço bem amplo. Assim também como o fato da porta estar no lado esquerdo, junto a uma janela que está tampada com tábuas mal posicionadas.
E o estilo visual deve ser condizente com o do personagem também enviado na imagem.",
Flow Studio Nano Banana,"Add tables and chairs to the bar. On the tables, use various items such as plates, glasses, rum bottles, and food.",https://drive.google.com/file/d/1K-MiBdkTQNlsxJAyaaQUT5G2no2BJ3mE/view?usp=drive_link,Unity Bar Mobiliado,Pedi para adicionar a mobilia ao bar,
Flow Studio Nano Banana,"Remove the background from the bar image, leaving everything white, keeping only the tables and items on them.",https://drive.google.com/file/d/1dDQlbHLEstNmPXJ0jMV1c5vYr70ofQOK/view?usp=drive_link,Apenas mobilia do Unity Bar com fundo branco,,
Flow Studio Nano Banana,"A wide-angle, stylized 2D background scene rendered in a rich, hand-painted digital art style with deep, painterly textures and soft, volumetric lighting, typical of high-quality 2D adventure game assets. The art style perfectly matches the aesthetic and detailed finish of the character sprite.

The scene depicts the facade of a luxurious tropical pirate resort, following the general layout of the reference sketch but significantly upgrading the architecture.

The Hotel Building (Center - Extravagant): In the center stands the imposing ""Hotel Descanso do Marujo"". It is not a simple hut, but a grand, multi-story colonial-style building constructed from sturdy stone blocks on the ground level and rich, colorful stucco (perhaps deep blue or ochre) on the upper floors, topped with a expensive tiled roof.

The Extravagant Entrance: The central feature is a massive, ostentatious entrance entrance. Wide stone steps lead up from the sand to grand, carved double doors made of dark, polished wood with brass fittings. The doorway is flanked by ornate columns or perhaps two large, gilded ship figureheads carved to look like mermaids or pirates. A fancy canopy or awning might overhang the steps.

Signage: Above this grand entrance, a large, ornate decorative plaque reads ""Hotel Descanso do Marujo"" in elaborate script.

Stars: Directly below the main sign, three large, highly polished golden stars are mounted prominently on the wall, glinting in the sun.

The Navigation Signpost (Crucial Layout):

On the Far Left: A weathered wooden signpost is planted in the sand. It has a wooden arrow board explicitly nailed to point towards the LEFT edge of the screen. The word ""Vila"" (Village) is hand-painted on it.

Environment & Atmosphere: The building sits on a sandy beach ground, perhaps with a few potted palm trees in ornate pots near the entrance. The lighting is bright and sunny, casting crisp shadows and highlighting the rich textures of the stone, gold accents, and expensive wood, emphasizing the resort's luxury compared to the rest of the island.",https://drive.google.com/file/d/1RsETejT2TqDYRA52DVfxzERoehXULixk/view?usp=sharing,Cenário: Hotel,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário do hotel resort tropical pirata, assim como na figura enviada. 

E o estilo visual deve ser condizente com o do personagem também enviado na imagem.",
Flow Studio Nano Banana,Make only the furniture (minus the carpet) in a white plane background,https://drive.google.com/file/d/1EYP5u6HN2AiZFlKNJTpbSCcUjTmWFROJ/view?usp=drive_link,Móveis do hotel,Pedi para gerar apenas os móveis,
Flow Studio Nano Banana,"A wide-angle, stylized 2D background scene rendered in a rich, hand-painted digital art style with deep, painterly textures and soft, volumetric lighting. The art style perfectly matches the aesthetic and detailed finish of the character sprite.

The scene depicts the interior of a tropical pirate resort hotel room, strictly following the architectural layout of the reference sketch, but in a state of chaotic disarray as if the occupant left in a massive hurry.

Layout & Key Elements (Left to Right):

Left Side (The Bed Area): A large, expensive-looking wooden bed with a carved headboard dominates the left. The bed is unmade, with rich fabric sheets and quilts tangled and partially dragged onto the wooden floor. Pillows are thrown haphazardly.

Forgotten Item: A fancy, expensive-looking velvet waistcoat (perhaps too small for a normal pirate) is flung carelessly over the footboard.

Center (Window & Floor Mess): In the center wall are large, double casement windows looking out onto a bright tropical view (palm tops, blue sky).

The Mess: On the floor beneath the window, an expensive leather travel trunk lies wide open and half-packed, with silk shirts and breeches spilling out.

Forgotten Clue: Next to the trunk, a small, overturned velvet pouch has spilled several strange, dried, kidney-shaped beans onto a rug.

Right Side (Dresser & Door): To the right of the window is a heavy wooden dresser. One drawer is hanging open precariously, with clothes stuffing hanging out. On top of the dresser, there is a cluttered array of expensive toiletries and an empty, spilled goblet.

Far Right: The solid wooden door leading out of the room is closed.

Atmosphere & Lighting: Bright tropical sunlight streams in through the central window in distinct volumetric shafts, illuminating floating dust motes and highlighting the textures of the crumpled fabrics, the wood grain of the furniture, and the scattered objects on the floor. The room feels chaotic, warm, and hastily abandoned.",https://drive.google.com/file/d/1cwgohMYYmGZAHft6mqFr1LyX05ZHyWxM/view?usp=drive_link,Cenário: Quarto de Hotel,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário do quarto do hotel resort tropical pirata, assim como na figura enviada. 
O quarto está bagunçado, o hospede acabou de sair, porém esqueceu algumas coisas pelo quarto.

E o estilo visual deve ser condizente com o do personagem também enviado na imagem.",
Flow Studio Nano Banana,"A wide-angle, stylized 2D background scene rendered in a rich, hand-painted digital art style with deep, painterly textures and soft, volumetric lighting. The art style perfectly matches the aesthetic and detailed finish of the character sprite, blending historical pirate architecture with a touch of absurd anachronism.

The scene depicts the grand entrance of the Theater of Porto Ressaca.

The Theater Building (Center/Background): The building is imposing and surprisingly ""chic"" for a pirate island. It features a grand colonial facade made of smooth, pale stone or plaster with ornate gold trim.

The Marquee: Instead of a rustic wooden sign, a large, Broadway-style marquee hangs above the entrance, with light bulbs (some flickering) spelling out ""TEATRO"".

The Entrance: Wide, red-carpeted stone stairs lead up to heavy, polished double doors. Velvet ropes on brass stanchions line the stairs, adding an air of exclusivity.

The Anachronistic Element (The Ticket Booth): Prominently positioned to the right of the stairs is a classic, retro-style American movie ticket booth (box office). It is a small, glass-enclosed booth with a semi-circular opening and a brass speaking grate, looking completely out of place in the 17th century. Inside sits a bored-looking parrot or a skeleton (optional detail).

The Navigation Signpost (Crucial Layout):

On the Far Left: A weathered wooden signpost is planted in the ground. It has a wooden arrow board explicitly nailed to point towards the LEFT edge of the screen. The word ""Praia"" (Beach) is hand-painted on it, indicating the way back, consistent with the game map.

Atmosphere & Lighting: The scene is lit by a mix of natural tropical twilight and the warm, artificial glow from the theater's marquee and the ticket booth. This creates a dramatic, ""showtime"" atmosphere, highlighting the contrast between the dusty pirate ground and the glamorous (and weird) theater entrance.",https://drive.google.com/file/d/1suY7QjQA8SzU60Q_PrqVCrzVOJAoT4Em/view?usp=drive_link,Cenário: Teatro Noite,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte do cenário da portaria do teatro da ilha de Porto Ressaca.

O teatro é bem imponente e chique, e tem alguns elementos anacrônicos, como um guichê para comprar ingressos clássico de cinemas americanos.

E o estilo visual deve ser condizente com o do personagem também enviado na imagem.",
Flow Studio Nano Banana,The time is mid day,https://drive.google.com/file/d/1XrZzm08oBYDY8kTsO_wRio3OB72wBwt1/view?usp=drive_link,Teatro de dia,Pedi para modificar a hora do dia,
Flow Studio Nano Banana,"A full-body 2D character sprite illustration rendered in a rich, hand-painted digital art style with bold, expressive black outlines and deep, painterly textures, strictly matching the aesthetic and detailed finish of the character reference.

The Character (Capitã Maré Alta):
She is a striking, beautiful female pirate captain with a commanding presence. She stands in a confident pose, perhaps with one hand resting on her hip and the other on the hilt of her sword, looking directly forward with a confident, slightly challenging smirk.

Hair & Face: She has voluminous, fiery red hair, wild and slightly windswept, perhaps partially braided with beads or sea-worn trinkets, spilling out from under her hat. Her face is beautiful but shows signs of a life at sea, with sun-kissed skin and determined eyes.

Attire: She is dressed in practical yet impressive captain's attire. She wears a weathered deep sea-blue or green frock coat with rich gold embroidery and brass buttons (similar textural quality to PinkBob's coat). Underneath, she wears a fitted leather corset or waistcoat over a cream linen shirt. She wears practical breeches and heavy, sea-worn leather boots.

Accessories: A large, distinct tricorn hat sits atop her red hair. A sturdy cutlass with an ornate basket hilt hangs from a wide leather belt filled with buckles. A flintlock pistol might be tucked into a sash at her waist.

Lighting & Background:
The character is lit with soft, volumetric studio lighting that highlights the rich textures of her clothing and the volume of her hair, giving her a painted, sculpted look. The background is completely solid white.",https://drive.google.com/file/d/1Hxb5RwWkS6Hy2US4fpp7jhkozOV-SXmw/view?usp=drive_link,Personagem: Capitã Maré Alta,"Pedi o prompt para o gemini com a instrução:
Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a personagem ""Capitã Maré Alta"", uma capitã pirata ruiva e bela. Ela deve estar em um fundo branco.

E o estilo visual deve ser condizente com o do personagem PinkBob também enviado na imagem.",
Flow Studio Nano Banana,Change the color of the overflow to red.,https://drive.google.com/file/d/12_T-hgZiITlPPFBp-9m8BYp4ONZ5Oqlc/view?usp=drive_link,Trocar cor do sobreduto da capitã,,
